Name,Points Given,Requirement
Bird of Prey,4000,Only used aerial attacks.
Combo King,2500,Used many combos (average combo counter being 2.5 or greater).
Juggler,1500,Struck an enemy several times while keeping them airborne.
Backstabber,2000,Attacked from behind often (70% of the time).
Sweeper,2500,Most attacks were low attacks.
Clean Sweep,5000,Only used low attacks (such as down tilts and down smashes).
Meteor Smash,800×,Knocked out a foe using a meteor smash.
Meteor Clear,3000,Cleared a stage with a meteor smash.
Meteor Master,8000,"Every time an attack with a meteor smash was used, it hit and KO'd an opponent (minimum of 2)."
Meteor Survivor,"2,000×",Successfully recovered from a meteor smash after being hit by one while airborne. Does not necessarily need to be via meteor canceling.
Flying Meteor,"4,000×",Hit a reeling enemy with a meteor smash.
Exceptional Aim,4000,Hit with most attacks.
Perfect Aim,10000,Never missed (at least 8 attacks per minute).
All Ground,6000,Hit the opponent with all standard ground attacks at least once.
All Aerial,4000,Hit the opponent with all standard aerial attacks at least once.
All Variations,10000,Used all attacks except final blows on enemies.
All on One,20000,Used all attacks except final blows on one enemy.
Lethal Weapon,7000,"Hit opponents using a wide variety of attacks. One known way to get the bonus is by using all aerial, smash, and special attacks on an enemy, without missing with any of them and without using any other attacks."
Berserker,3500,Used 60 attacks within one minute (on average).
Smash King,3000,Used many smash attacks (50% or more of all hits).
Smash Maniac,3500,Used only smash attacks.
Smash-less,1500,Used no smash attacks.
Specialist,2200,Used only special moves.
Dedicated Specialist,3100,"Only used one move, which was a special move."
One-Two Punch,1800,Hit consecutively with an entire neutral combo.
First Strike,500,Delivered the first attack of the match.
150% Damage,1000,Survived to over 150% damage in a single stock. Not valid in Team Battles. Earned even if the hit that brought the player to 150% KO'd them.
200% Damage,3000,Survived to over 200% damage in a single stock. Same conditions as other X% Damage bonuses.
250% Damage,7000,Survived to over 250% damage in a single stock. Same conditions as other X% Damage bonuses.
300% Damage,10000,Survived to over 300% damage in a single stock. Same conditions as other X% Damage bonuses.
350% Damage,15000,Survived to over 350% damage in a single stock. Same conditions as other X% Damage bonuses.
Heavy Damage,20000,Survived to over 400% damage in a single stock. Same conditions as other X% Damage bonuses.
Sniper,2000,Hit only with projectile attacks.
Brawler,2000,Only used direct attacks (as opposed to projectiles).
Precise Aim,10000,"All attacks hit immediately after execution (that is, they all hit on the same frame the hitboxes appeared)."
Pitcher,6000,Fought with only grabs and throws.
Butterfingers,-500,Most grabs failed.
